batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
RE van der Merwe,middle,70,58,120.6896551724138,124.60424631133884,7227.046286057653,2013
RG Sharma,middle,3163,2601,121.60707420222991,121.89730841086148,317054.89917665074,2026
RJ Harris,middle,20,25,80.0,120.56761053076694,3014.1902632691736,2011
RJ Quiney,middle,37,28,132.14285714285714,126.56894312452344,3543.9304074866563,2009
RK Singh,middle,552,499,110.62124248496994,114.87734051407598,57323.79291652392,2026
RM Patidar,middle,959,560,171.25,159.50314479042217,89321.76108263641,2026
RN ten Doeschate,middle,108,88,122.72727272727273,124.82287744441247,10984.413215108298,2015
RR Pant,middle,2227,1633,136.3747703612982,135.2433666940748,220852.41781142415,2026
RR Rossouw,middle,250,168,148.80952380952382,136.43216065225545,22920.602989578914,2024
RR Sarwan,middle,28,35,80.0,118.80380137725535,4158.1330482039375,2008
RS Bopara,middle,222,205,108.29268292682927,116.81218579192183,23946.498087343974,2015
RT Ponting,middle,46,53,86.79245283018868,117.4390093418094,6224.267495115898,2013
RV Patel,middle,28,31,90.32258064516128,120.90652352552536,3748.102229291286,2023
RV Uthappa,middle,2345,1829,128.21213778020777,127.97671655966833,234069.4145876334,2022
Rahmanullah Gurbaz,middle,111,73,152.05479452054794,132.92863551033108,9703.790392254168,2025
Ramandeep Singh,middle,119,111,107.2072072072072,119.03553698290435,13212.944605102382,2026
Rashid Khan,middle,92,71,129.5774647887324,126.78524179236364,9001.752167257819,2026
S Anirudha,middle,34,33,103.03030303030303,122.47751893319618,4041.758124795474,2011
S Badrinath,middle,837,697,120.08608321377332,121.3283344358394,84565.84910178006,2013
S Dhawan,middle,2675,2115,126.47754137115838,126.41769450942368,267373.4238874311,2024
S Dube,middle,1261,931,135.4457572502685,133.76987061879996,124539.74954610276,2026
S Gopal,middle,45,61,73.77049180327869,113.37841529987784,6916.083333292549,2020
S Nadeem,middle,9,21,42.857142857142854,117.70775146652188,2471.8627807969597,2018
S Sohal,middle,85,63,134.92063492063494,128.00338882468498,8064.213495955153,2011
S Sriram,middle,18,25,72.0,119.65851962167604,2991.462990541901,2011
S Vidyut,middle,42,30,140.0,127.66610807452767,3829.98324223583,2008
SA Asnodkar,middle,145,129,112.40310077519379,120.4471429529899,15537.681440935698,2009
SA Yadav,middle,2652,1840,144.1304347826087,142.37094561020575,261962.53992277858,2026
SB Bangar,middle,17,35,48.57142857142857,114.02119268160315,3990.7417438561106,2009
SB Dubey,middle,34,32,106.25,123.0170674747521,3936.546159192067,2025
SB Styris,middle,83,93,89.24731182795699,113.97525804433586,10599.698998123235,2009
SC Ganguly,middle,630,638,98.7460815047022,105.071877931295,67035.85812016622,2012
SD Chitnis,middle,55,46,119.56521739130434,124.5845407334802,5730.888873740089,2012
SD Hope,middle,94,52,180.76923076923077,137.34766929865881,7142.0788035302585,2024
SE Marsh,middle,1448,971,149.12461380020596,145.2185886078634,141007.24953823537,2017
SE Rutherford,middle,237,167,141.91616766467067,133.2178848529523,22247.386770443034,2026
SK Raina,middle,3074,2339,131.4236853356135,130.98850604450226,306382.11563809076,2021
SK Warne,middle,61,82,74.39024390243902,110.5591130569268,9065.847270667999,2011
SM Curran,middle,389,348,111.7816091954023,116.80455675279693,40647.98574997333,2025
SM Katich,middle,75,61,122.95081967213115,125.09716529987784,7630.927083292549,2009
SM Pollock,middle,66,63,104.76190476190477,120.63904773941367,7600.260007583061,2008
SN Khan,middle,267,249,107.2289156626506,115.37133855128093,28727.46329926895,2026
SN Thakur,middle,116,90,128.88888888888889,126.75394497111834,11407.855047400652,2026
SO Hetmyer,middle,534,420,127.14285714285714,126.70711271019306,53216.987338281084,2026
SP Fleming,middle,76,54,140.74074074074073,129.0155595050953,6966.840213275146,2008
SP Goswami,middle,104,106,98.11320754716981,116.02948277996255,12299.12517467603,2018
SP Narine,middle,486,279,174.19354838709677,154.2718867442378,43041.85640164235,2026
SPD Smith,middle,1276,1091,116.95692025664528,118.29305934429917,129057.72774463039,2021
SR Tendulkar,middle,967,828,116.78743961352657,118.49938838393814,98117.49358190078,2013
SR Watson,middle,1997,1302,153.3794162826421,149.7828151748622,195017.2253576706,2020
SS Iyer,middle,2257,1657,136.21001810500906,135.1106232811926,223878.30277693615,2026
SS Prabhudessai,middle,94,73,128.76712328767124,126.58535192824152,9240.730690761631,2024
